Variable,Group,N,W,p-value,Normal (α=.05),Skewness,Kurtosis
PHQ-9,Overall,40,0.8975,0.0016,✗,1.022,0.349
GAD-7,Overall,40,0.8829,0.0006,✗,1.273,1.499
STAI-T,Overall,40,0.9435,0.0454,✗,0.371,-0.967
Positive Affect (Pre),Overall,40,0.9772,0.5854,✓,-0.135,-0.631
Negative Affect (Pre),Overall,40,0.7286,0.0,✗,2.226,5.421
Positive Affect (Post),Overall,40,0.9676,0.3004,✓,-0.078,-0.935
Negative Affect (Post),Overall,40,0.5591,0.0,✗,3.937,18.027
Avg Scan Speed (Total),Overall,40,0.9776,0.6023,✓,-0.026,-0.781
Avg Scan Speed (Yaw),Overall,40,0.9758,0.5367,✓,-0.024,-0.789
Speed Total (Abandoned),Overall,40,0.9758,0.5389,✓,-0.229,-0.512
Speed Yaw (Abandoned),Overall,40,0.9781,0.62,✓,-0.252,-0.215
SDY (Abandoned),Overall,40,0.9735,0.4614,✓,-0.452,0.561
Speed Total (Beach),Overall,40,0.9793,0.6619,✓,-0.348,0.267
Speed Yaw (Beach),Overall,40,0.9734,0.4589,✓,-0.359,0.597
SDY (Beach),Overall,40,0.9213,0.0085,✗,-1.23,2.859
Speed Total (Campus),Overall,40,0.9819,0.759,✓,-0.02,-0.732
Speed Yaw (Campus),Overall,40,0.9788,0.6434,✓,0.073,-0.686
SDY (Campus),Overall,40,0.8919,0.0011,✗,-1.209,1.287
Speed Total (Horror),Overall,40,0.9577,0.1396,✓,0.267,-0.678
Speed Yaw (Horror),Overall,40,0.9542,0.106,✓,0.142,-1.058
SDY (Horror),Overall,40,0.8798,0.0005,✗,1.415,2.147
Speed Total (Surf),Overall,40,0.9656,0.2596,✓,0.448,-0.458
Speed Yaw (Surf),Overall,40,0.9659,0.2643,✓,0.459,-0.384
SDY (Surf),Overall,40,0.9179,0.0066,✗,-0.924,0.19
Avg Speed (Total),Minimal (0-4),20,0.9381,0.2208,✓,-0.048,-1.296
Avg Speed (Yaw),Minimal (0-4),20,0.9367,0.2079,✓,-0.183,-1.22
Avg Speed (Total),Mild (5-9),12,0.9914,0.9999,✓,-0.049,-0.363
Avg Speed (Yaw),Mild (5-9),12,0.9794,0.9813,✓,0.182,-0.292
Avg Speed (Total),Moderate-Severe (≥10),8,0.9181,0.4146,✓,-0.194,-0.615
Avg Speed (Yaw),Moderate-Severe (≥10),8,0.9319,0.5334,✓,-0.2,-0.848
